Date,Target,Hour,Period_In_Hour,Week_Day,Is_Working_Day,Previous_Point,Previous_Hour_Price,P24HA_Price,PDSH_Price,PWSH_Price,PWA_Price,Price_HAP,Price_DAP,Load,Load_HAP,Load_DAP,Sgn0_Volume_Dir
8/1/2021 0:00,3312.863,1,1,6,2,,,,,,,15395.51435,,8226.8,8313.5,8009.44,
8/1/2021 0:05,21185.4658,1,2,6,2,3312.863,,,,,,13294.48275,,8322.14,8258.65,,
8/1/2021 0:10,15381.50925,1,3,6,2,21185.4658,,,,,,13290.43905,,8270.98,8225.63,,
8/1/2021 0:15,13280.227,1,4,6,2,15381.50925,,,,,,12057.52935,,8222.24,8200.11,,
8/1/2021 0:20,7834.126,1,5,6,2,13280.227,,,,,,3307.376,,8145.2,8144.68,,
8/1/2021 0:25,13299.78685,1,6,6,2,7834.126,,,,,,3905.88885,,8229.08,8127.38,,
8/1/2021 0:30,13293.1346,1,7,6,2,13299.78685,,,,,,2711.11425,,8210.39,8109.17,,
8/1/2021 0:35,13180.55835,1,8,6,2,13293.1346,,,,,,3308.03265,,8201.3,8091.37,,
8/1/2021 0:40,13171.1819,1,9,6,2,13180.55835,,,,,,3701.7494,,8183.7,8073.37,,
8/1/2021 0:45,10558.1855,1,10,6,2,13171.1819,,,,,,2914.9833,,8175.79,8055.46,,
8/1/2021 0:50,10502.8761,1,11,6,2,10558.1855,,,,,,3303.67495,,8157.76,8037.46,,
8/1/2021 0:55,10007.71685,1,12,6,2,10502.8761,,,,,,3308.2487,,8150.32,8021.17,,
8/1/2021 1:00,7824.7115,2,1,6,2,10007.71685,3312.863,,,,,10555.9972,,8122.63,8122.63,7755.52,
8/1/2021 1:05,10589.11955,2,2,6,2,7824.7115,21185.4658,,,,,10652.4635,,8112.19,8112.19,,
8/1/2021 1:10,10641.2078,2,3,6,2,10589.11955,15381.50925,,,,,10668.6784,,8099.83,8099.83,,
8/1/2021 1:15,10785.2227,2,4,6,2,10641.2078,13280.227,,,,,10674.2057,,8087.09,8087.09,,
8/1/2021 1:20,10802.802,2,5,6,2,10785.2227,7834.126,,,,,3326.8637,,7997.68,7997.68,,
8/1/2021 1:25,10720.3189,2,6,6,2,10802.802,13299.78685,,,,,3328.9297,,7986.95,7986.95,,
8/1/2021 1:30,10662.6874,2,7,6,2,10720.3189,13293.1346,,,,,3329.2794,,7974.04,7974.04,,
8/1/2021 1:35,10613.7906,2,8,6,2,10662.6874,13180.55835,,,,,3431.956,,7962.78,7962.78,,
8/1/2021 1:40,10521.6839,2,9,6,2,10613.7906,13171.1819,,,,,3846.91,,7945.28,7945.28,,
8/1/2021 1:45,3319.5264,2,10,6,2,10521.6839,10558.1855,,,,,3738.4978,,7927.78,7927.78,,
8/1/2021 1:50,2783.3682,2,11,6,2,3319.5264,10502.8761,,,,,2893.9038,,7906.53,7906.53,,
8/1/2021 1:55,2712.1888,2,12,6,2,2783.3682,10007.71685,,,,,2716.4022,,7883.82,7883.82,,
8/1/2021 2:00,2620.6112,3,1,6,2,2712.1888,7824.7115,10291.01079,,,,7494.2204,,7764.56,7764.56,7424,
8/1/2021 2:05,10543.6502,3,2,6,2,2620.6112,10589.11955,10262.16696,,,,10586.36135,,7716.87,7716.87,,
8/1/2021 2:10,10621.677,3,3,6,2,10543.6502,10641.2078,9818.757981,,,,10588.216,,7684.03,7684.03,,
8/1/2021 2:15,10597.6411,3,4,6,2,10621.677,10785.2227,9620.431638,,,,10610.575,,7654.83,7654.83,,
8/1/2021 2:20,10558.1903,3,5,6,2,10597.6411,10802.802,9508.657225,,,,10770.50525,,7668.02,7668.02,,
8/1/2021 2:25,10587.1315,3,6,6,2,10558.1903,10720.3189,9622.159904,,,,10804.9267,,7640.67,7640.67,,
8/1/2021 2:30,10653.2965,3,7,6,2,10587.1315,10662.6874,9509.132598,,,,13262.83415,,7615.13,7615.13,,
8/1/2021 2:35,10675.44015,3,8,6,2,10653.2965,10613.7906,9399.139344,,,,13275.0684,,7589.95,7589.95,,
8/1/2021 2:40,10716.14455,3,9,6,2,10675.44015,10521.6839,9294.759419,,,,13381.64505,,7565.55,7565.55,,
8/1/2021 2:45,10752.87535,3,10,6,2,10716.14455,3319.5264,9192.466196,,,,13385.79965,,7541.86,7541.86,,
8/1/2021 2:50,10831.2098,3,11,6,2,10752.87535,2783.3682,9200.578273,,,,13281.9935,,7519.29,7519.29,,
8/1/2021 2:55,10829.0208,3,12,6,2,10831.2098,2712.1888,9214.258844,,,,10807.02895,,7497.23,7497.23,,
8/1/2021 3:00,13302.4157,4,1,6,2,10829.0208,2620.6112,9248.479842,,,,13297.049,,7423.07,7423.07,7212.17,
8/1/2021 3:05,13299.72155,4,2,6,2,13302.4157,10543.6502,9476.717517,,,,10655.6594,,7307.57,7307.57,,
8/1/2021 3:10,13410.5178,4,3,6,2,13299.72155,10621.677,9589.659267,,,,10686.9989,,7285.05,7285.05,,
8/1/2021 3:15,19123.2844,4,4,6,2,13410.5178,10597.6411,9705.047183,,,,10695.5568,,7264.19,7264.19,,
8/1/2021 3:20,19128.3411,4,5,6,2,19123.2844,10558.1903,10052.46642,,,,13414.0194,,7331.65,7331.65,,
8/1/2021 3:25,13424.2627,4,6,6,2,19128.3411,10587.1315,10399.36388,,,,15026.69305,,7313.09,7313.09,,
8/1/2021 3:30,19138.9314,4,7,6,2,13424.2627,10653.2965,10512.02821,,,,19143.63115,,7295.62,7295.62,,
8/1/2021 3:35,19196.10945,4,8,6,2,19138.9314,10675.44015,10865.20504,,,,19146.5089,,7279.33,7279.33,,
8/1/2021 3:40,19200.1327,4,9,6,2,19196.10945,10716.14455,11222.80166,,,,19145.5967,,7264.64,7264.64,,
8/1/2021 3:45,19196.0891,4,10,6,2,19200.1327,10752.87535,11584.40369,,,,19132.96075,,7250.69,7250.69,,
8/1/2021 3:50,19153.3191,4,11,6,2,19196.0891,10831.2098,12245.92714,,,,13419.53,,7237.09,7237.09,,
8/1/2021 3:55,19154.2322,4,12,6,2,19153.3191,10829.0208,12928.00843,,,,13417.48205,,7224.89,7224.89,,
8/1/2021 4:00,19149.7388,5,1,6,2,19154.2322,13302.4157,13613.09357,,,,25596.90675,,7283.21,7283.21,7056.29,
8/1/2021 4:05,19156.5466,5,2,6,2,19149.7388,13299.72155,14301.80722,,,,21779.78045,,7258.38,7258.38,,
8/1/2021 4:10,19153.9482,5,3,6,2,19156.5466,13410.5178,14660.6779,,,,20246.3938,,7248.23,7248.23,,
8/1/2021 4:15,19160.4077,5,4,6,2,19153.9482,19123.2844,15016.1892,,,,19154.3719,,7237.55,7237.55,,
8/1/2021 4:20,19174.20315,5,5,6,2,19160.4077,19128.3411,15372.97114,,,,19153.459,,7220.57,7220.57,,
8/1/2021 4:25,19160.29795,5,6,6,2,19174.20315,13424.2627,15731.97168,,,,19152.5462,,7208.77,7208.77,,
8/1/2021 4:30,19168.9099,5,7,6,2,19160.29795,19138.9314,16089.18695,,,,19153.5289,,7196.14,7196.14,,
8/1/2021 4:35,13293.36735,5,8,6,2,19168.9099,19196.10945,16444.00417,,,,19151.63365,,7183,7183,,
8/1/2021 4:40,10830.49825,5,9,6,2,13293.36735,19200.1327,16553.08447,,,,19150.7213,,7168.64,7168.64,,
8/1/2021 4:45,13286.65555,5,10,6,2,10830.49825,19196.0891,16557.84921,,,,19149.809,,7153.25,7153.25,,
8/1/2021 4:50,13300.8286,5,11,6,2,13286.65555,19153.3191,16663.42339,,,,15542.0354,,7136.69,7136.69,,
8/1/2021 4:55,13292.08745,5,12,6,2,13300.8286,19154.2322,16766.32417,,,,13431.20565,,7118.1,7118.1,,
8/1/2021 5:00,13306.2658,6,1,6,2,13292.08745,19149.7388,16868.95195,,,,10831.2633,,7039.19,7039.19,6787.43,
8/1/2021 5:05,10860.2334,6,2,6,2,13306.2658,19156.5466,16869.11237,,,,10816.6033,,7007.79,7007.79,,
8/1/2021 5:10,13320.5912,6,3,6,2,10860.2334,19153.9482,16767.46703,,,,10812.3367,,6984.73,6984.73,,
8/1/2021 5:15,13311.8752,6,4,6,2,13320.5912,19160.4077,16763.72009,,,,10783.8014,,6961.74,6961.74,,
8/1/2021 5:20,13318.673,6,5,6,2,13311.8752,19174.20315,16521.57804,,,,10755.43075,,6939.31,6939.31,,
8/1/2021 5:25,10873.6676,6,6,6,2,13318.673,19160.29795,16279.50853,,,,10733.5441,,6917.37,6917.37,,
