Target,Voc,Isc,Vmp,Imp,Pmp,T,G,I1,I2,I3,I4,I5,I6,I7,I8,L
1,123,6.825079739,107.9023344,6.382275213,688.6623946,7,100,1.682,1.682,1.682,1.682,1.682,1.682,1.682,1.682,0
1,123,7.507587713,109.6101969,6.90867251,757.2609544,7,110,1.627,1.627,1.627,1.627,1.627,1.627,1.627,1.627,0
1,123,7.780590903,107.8620909,7.32358153,789.9368163,7,114,1.605,1.605,1.605,1.605,1.605,1.605,1.605,1.605,0
1,123,8.468545621,107.294257,7.992204697,857.5176644,8,124,1.712,1.712,1.712,1.712,1.712,1.712,1.712,1.712,0
1,124,8.741724512,107.9218489,8.217422202,886.8393968,8,128,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,0
1,124,9.288082295,105.6622189,8.899567383,940.3480368,8,136,1.647,1.647,1.647,1.647,1.647,1.647,1.647,1.647,0
1,123,9.778708007,105.7416369,9.314101972,984.8883889,10,143,1.952,1.952,1.952,1.952,1.952,1.952,1.952,1.952,0
1,123,10.25738602,106.3872124,9.735725061,1035.75665,10,150,1.917,1.917,1.917,1.917,1.917,1.917,1.917,1.917,0
1,124,10.59929889,107.5771612,9.95967419,1071.433476,10,155,1.891,1.891,1.891,1.891,1.891,1.891,1.891,1.891,0
1,123,11.16067914,104.522868,10.67766995,1116.060687,12,163,2.219,2.219,2.219,2.219,2.219,2.219,2.219,2.219,0
1,123,11.63997211,106.8576542,10.9482913,1169.908725,12,170,2.184,2.184,2.184,2.184,2.184,2.184,2.184,2.184,0
1,123,12.11926508,106.8672652,11.41281812,1219.656661,12,177,2.152,2.152,2.152,2.152,2.152,2.152,2.152,2.152,0
1,123,12.61472259,105.4096539,11.94100796,1258.697516,14,184,2.509,2.509,2.509,2.509,2.509,2.509,2.509,2.509,0
1,123,13.09463051,106.9428577,12.22477566,1307.352444,14,191,2.477,2.477,2.477,2.477,2.477,2.477,2.477,2.477,0
1,123,13.50598016,107.5537446,12.53928577,1348.647138,14,197,2.449,2.449,2.449,2.449,2.449,2.449,2.449,2.449,0
1,122,14.07245576,104.8348231,13.31269668,1395.634202,16,205,2.282,2.282,2.282,2.282,2.282,2.282,2.282,2.282,0
1,122,14.55297864,105.7268352,13.66973397,1445.25771,16,212,2.297,2.297,2.297,2.297,2.297,2.297,2.297,2.297,0
1,122,14.96485539,106.4739707,13.95387268,1485.724231,16,218,2.771,2.771,2.771,2.771,2.771,2.771,2.771,2.771,0
1,122,15.53387866,104.1920593,14.68905597,1530.482991,18,226,3.1713,3.1713,3.1713,3.1713,3.1713,3.1713,3.1713,3.1713,0
1,122,15.94628252,105.7794184,14.8581819,1571.68984,18,232,3.148,3.148,3.148,3.148,3.148,3.148,3.148,3.148,0
1,122,16.49615433,103.760851,15.67431673,1626.380443,18,240,3.116,3.116,3.116,3.116,3.116,3.116,3.116,3.116,0
1,121,16.99899129,103.981902,15.99717149,1663.416318,20,247,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,0
1,121,17.48074408,105.1126969,16.27844725,1711.071492,20,254,3.515,3.515,3.515,3.515,3.515,3.515,3.515,3.515,0
1,121,17.97396139,103.5159657,16.93873918,1753.429944,21,261,3.724,3.724,3.724,3.724,3.724,3.724,3.724,3.724,0
1,121,18.45602166,103.1359319,17.46119367,1800.876482,21,268,3.696,3.696,3.696,3.696,3.696,3.696,3.696,3.696,0
1,121,18.73148467,104.9683755,17.41106931,1827.611662,21,272,3.681,3.681,3.681,3.681,3.681,3.681,3.681,3.681,0
1,121,19.29470979,103.7972336,18.08328432,1876.994887,22,280,3.891,3.891,3.891,3.891,3.891,3.891,3.891,3.891,0
1,121,19.77707754,102.3676628,18.77808147,1922.268311,22,287,3.864,3.864,3.864,3.864,3.864,3.864,3.864,3.864,0
1,121,20.39726464,104.8858392,18.91969513,1984.4081,22,296,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,0
1,121,20.89294177,103.0032861,19.67656485,2026.750838,23,303,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,0
1,121,21.37561699,104.5193894,19.82601818,2072.203313,23,310,4.024,4.024,4.024,4.024,4.024,4.024,4.024,4.024,0
1,121,21.85829221,102.4690207,20.6971902,2120.820811,23,317,3.998,3.998,3.998,3.998,3.998,3.998,3.998,3.998,0
1,121,22.35519925,102.4804198,21.08994102,2161.306009,24,324,4.224,4.224,4.224,4.224,4.224,4.224,4.224,4.224,0
1,121,22.83818195,102.2458749,21.59777716,2208.283621,24,331,4.199,4.199,4.199,4.199,4.199,4.199,4.199,4.199,0
1,121,23.32116465,102.8555717,21.94768013,2257.441187,24,338,4.174,4.174,4.174,4.174,4.174,4.174,4.174,4.174,0
1,121,23.8193016,102.7482304,22.34368725,2295.774325,25,345,4.405,4.405,4.405,4.405,4.405,4.405,4.405,4.405,0
1,121,24.30259178,101.7059893,23.01533503,2340.797418,25,352,4.381,4.381,4.381,4.381,4.381,4.381,4.381,4.381,0
1,121,24.78588195,101.4469476,23.52843833,2386.888251,25,359,4.355,4.355,4.355,4.355,4.355,4.355,4.355,4.355,0
1,120,25.29328716,100.6213633,24.03197708,2418.130297,26.5,367,4.724,4.724,4.724,4.724,4.724,4.724,4.724,4.724,0
1,120,25.77703855,101.8998623,24.2422484,2470.281774,26.5,373,4.701,4.701,4.701,4.701,4.701,4.701,4.701,4.701,0
1,121,26.32989728,102.8117251,24.55004427,2524.032403,26,381,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,0
1,121,26.75304089,101.9341658,25.10584949,2559.143825,27,387,4.786,4.786,4.786,4.786,4.786,4.786,4.786,4.786,0
1,121,27.23694603,100.2803082,25.92215542,2599.481734,27,394,4.763,4.763,4.763,4.763,4.763,4.763,4.763,4.763,0
1,121,27.72085116,101.4691883,26.14778228,2653.194243,27,401,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,0
1,120,28.22267784,101.7909554,26.43022049,2690.357396,28,408,4.985,4.985,4.985,4.985,4.985,4.985,4.985,4.985,0
1,120,28.70689045,100.8239851,27.1254126,2734.892194,28,415,4.963,4.963,4.963,4.963,4.963,4.963,4.963,4.963,0
